C 	0.017296	5.6345	0.3655	CAT
C 	-0.110032	5.9952	0.0048	CAT
C 	-0.004471	6.0499	-0.0499	CAT
C 	-0.110269	6.0400	-0.04	CAT
C 	0.014542	5.6152	0.3848	CAT
H 	0.142393	0.8517	0.1483	CAT
H 	0.148562	0.8066	0.1934	CAT
H 	0.157358	0.8453	0.1547	CAT
H 	0.158908	0.8408	0.1592	CAT
H 	0.147379	0.8076	0.1924	CAT
N 	0.145255	8.1133	-1.1133	CAT
C 	-0.143047	5.8314	0.1686	CAT
C 	-0.196762	6.1109	-0.1109	CAT
H 	0.137093	0.8616	0.1384	CAT
H 	0.136836	0.8639	0.1361	CAT
C 	-0.110342	6.0984	-0.0984	CAT
H 	0.101440	0.9215	0.0785	CAT
H 	0.100780	0.9350	0.065	CAT
C 	-0.396747	6.1803	-0.1803	CAT
H 	0.096263	0.9309	0.0691	CAT
H 	0.096459	0.9283	0.0717	CAT
H 	0.134765	0.9238	0.0762	CAT
H 	0.125590	0.9239	0.0761	CAT
H 	0.126013	0.9452	0.0548	CAT
S 	1.227391	12.8904	3.1096	AN
O 	-0.528786	9.1637	-1.1637	AN
O 	-0.551970	9.1875	-1.1875	AN
N 	-0.707215	8.2449	-1.2449	AN
S 	1.226526	12.8744	3.1256	AN
O 	-0.553100	9.1904	-1.1904	AN
O 	-0.530244	9.1621	-1.1621	AN
F 	-0.249153	9.6146	-0.6146	AN
F 	-0.248710	9.6161	-0.6161	AN
