C 	-0.436296	6.1536	-0.1536	CAT
C 	-0.057770	5.7773	0.2227	CAT
N 	0.098371	8.1518	-1.1518	CAT
H 	0.128339	0.8789	0.1211	CAT
H 	0.104126	0.9158	0.0842	CAT
C 	0.044311	5.0584	0.9416	CAT
C 	-0.113304	5.7153	0.2847	CAT
N 	0.125907	8.1585	-1.1585	CAT
H 	0.153930	0.7312	0.2688	CAT
C 	-0.112353	5.6584	0.3416	CAT
H 	0.154214	0.8304	0.1696	CAT
C 	-0.338231	5.8775	0.1225	CAT
H 	0.158787	0.8342	0.1658	CAT
H 	0.148284	0.8936	0.1064	CAT
H 	0.181527	0.8147	0.1853	CAT
H 	0.168481	0.8720	0.128	CAT
B 	1.011437	2.5995	2.4005	AN
F 	-0.475091	9.8400	-0.84	AN
F 	-0.476788	9.8382	-0.8382	AN
F 	-0.475685	9.8373	-0.8373	AN
F 	-0.453636	9.8311	-0.8311	AN
H 	0.172055	0.8706	0.1294	CAT
H 	0.131783	0.9455	0.0545	CAT
H 	0.157603	0.9172	0.0828	CAT
