C 	-0.435768	6.1555	-0.1555	CAT
C 	-0.039921	5.7913	0.2087	CAT
N 	0.049864	8.1574	-1.1574	CAT
H 	0.115059	0.8939	0.1061	CAT
H 	0.099931	0.9104	0.0896	CAT
C 	0.071188	5.0543	0.9457	CAT
C 	-0.112038	5.6604	0.3396	CAT
N 	0.097091	8.1611	-1.1611	CAT
H 	0.138622	0.8152	0.1848	CAT
C 	-0.114449	5.7163	0.2837	CAT
H 	0.150586	0.8375	0.1625	CAT
C 	-0.325024	5.8678	0.1322	CAT
H 	0.150526	0.8404	0.1596	CAT
H 	0.151352	0.8981	0.1019	CAT
H 	0.153081	0.8969	0.1031	CAT
H 	0.160111	0.8352	0.1648	CAT
Br	-0.753979	35.7535	-0.7535	AN
H 	0.161164	0.8656	0.1344	CAT
H 	0.132855	0.9636	0.0364	CAT
H 	0.149747	0.9245	0.0755	CAT
