C 	-0.433900	6.1716	-0.1716	CAT
C 	-0.056670	5.7859	0.2141	CAT
N 	0.099247	8.1527	-1.1527	CAT
H 	0.126828	0.8766	0.1234	CAT
H 	0.104309	0.8990	0.101	CAT
C 	0.039782	5.0391	0.9609	CAT
C 	-0.104644	5.6370	0.363	CAT
N 	0.119202	8.1628	-1.1628	CAT
H 	0.158146	0.7610	0.239	CAT
C 	-0.103967	5.6939	0.3061	CAT
H 	0.157661	0.8434	0.1566	CAT
C 	-0.332603	5.8564	0.1436	CAT
H 	0.157294	0.8395	0.1605	CAT
H 	0.151543	0.8941	0.1059	CAT
H 	0.171543	0.8723	0.1277	CAT
H 	0.180594	0.8390	0.161	CAT
P 	1.607975	11.2236	3.7764	AN
F 	-0.402455	9.7859	-0.7859	AN
F 	-0.433636	9.7941	-0.7941	AN
F 	-0.401406	9.7859	-0.7859	AN
F 	-0.437425	9.7960	-0.796	AN
F 	-0.396849	9.7834	-0.7834	AN
F 	-0.433148	9.7938	-0.7938	AN
H 	0.132703	0.9346	0.0654	CAT
H 	0.157841	0.9217	0.0783	CAT
H 	0.172035	0.8568	0.1432	CAT
