C 	-0.139322	5.8470	0.153	CAT
H 	0.108584	0.9167	0.0833	CAT
H 	0.109022	0.9232	0.0768	CAT
C 	-0.197873	6.1003	-0.1003	CAT
H 	0.103614	0.9271	0.0729	CAT
H 	0.107818	0.9250	0.075	CAT
C 	-0.116909	6.0784	-0.0784	CAT
H 	0.094355	0.9421	0.0579	CAT
H 	0.094240	0.9454	0.0546	CAT
C 	-0.403147	6.1715	-0.1715	CAT
H 	0.131046	0.9397	0.0603	CAT
H 	0.139240	0.9180	0.082	CAT
H 	0.129394	0.9379	0.0621	CAT
N 	0.210519	7.8369	-0.8369	CAT
C 	-0.117338	5.9108	0.0892	CAT
C 	-0.180906	6.0924	-0.0924	CAT
C 	-0.182898	6.1193	-0.1193	CAT
C 	-0.115570	5.9343	0.0657	CAT
H 	0.110329	0.9143	0.0857	CAT
H 	0.124534	0.8401	0.1599	CAT
H 	0.130898	0.8854	0.1146	CAT
H 	0.089479	0.9465	0.0535	CAT
H 	0.126854	0.8700	0.13	CAT
H 	0.097452	0.9383	0.0617	CAT
H 	0.123945	0.8385	0.1615	CAT
H 	0.108256	0.9105	0.0895	CAT
H 	0.153846	0.8962	0.1038	CAT
C 	-0.358756	5.9843	0.0157	CAT
H 	0.154594	0.8885	0.1115	CAT
H 	0.160768	0.8186	0.1814	CAT
I 	-0.796072	53.8021	-0.8021	AN
