H 	0.127338	0.9431	0.0569	CAT
C 	-0.400982	6.1670	-0.167	CAT
C 	-0.113660	6.0608	-0.0608	CAT
H 	0.134745	0.9349	0.0651	CAT
H 	0.121045	0.9465	0.0535	CAT
C 	-0.203136	6.0671	-0.0671	CAT
H 	0.094688	0.9557	0.0443	CAT
H 	0.080101	0.9597	0.0403	CAT
C 	-0.094068	5.7637	0.2363	CAT
H 	0.089082	0.9799	0.0201	CAT
H 	0.121346	0.8829	0.1171	CAT
N 	0.043265	8.1156	-1.1156	CAT
H 	0.118761	0.9148	0.0852	CAT
H 	0.100164	0.9181	0.0819	CAT
C 	0.089386	5.0845	0.9155	CAT
C 	-0.115870	5.7135	0.2865	CAT
N 	0.085225	8.1381	-1.1381	CAT
H 	0.143589	0.8057	0.1943	CAT
C 	-0.122014	5.7064	0.2936	CAT
H 	0.149737	0.8432	0.1568	CAT
C 	-0.318622	5.8792	0.1208	CAT
H 	0.149001	0.8432	0.1568	CAT
H 	0.148749	0.8954	0.1046	CAT
H 	0.149005	0.8942	0.1058	CAT
H 	0.160677	0.8335	0.1665	CAT
Cl	-0.737551	17.7540	-0.754	AN
