C 	0.018519	5.6305	0.3695	CAT
C 	-0.112236	6.0187	-0.0187	CAT
C 	-0.001133	6.0287	-0.0287	CAT
C 	-0.111890	6.0676	-0.0676	CAT
C 	0.018567	5.6024	0.3976	CAT
H 	0.148733	0.8325	0.1675	CAT
H 	0.144960	0.8146	0.1854	CAT
H 	0.157703	0.8401	0.1599	CAT
H 	0.158433	0.8310	0.169	CAT
H 	0.145220	0.8008	0.1992	CAT
N 	0.145624	8.1258	-1.1258	CAT
C 	-0.144961	5.8654	0.1346	CAT
C 	-0.193331	6.1098	-0.1098	CAT
H 	0.127912	0.8631	0.1369	CAT
H 	0.128454	0.8555	0.1445	CAT
C 	-0.110299	6.1028	-0.1028	CAT
H 	0.101485	0.9209	0.0791	CAT
H 	0.101918	0.9231	0.0769	CAT
C 	-0.396885	6.1861	-0.1861	CAT
H 	0.097455	0.9246	0.0754	CAT
H 	0.097813	0.9351	0.0649	CAT
H 	0.136024	0.9205	0.0795	CAT
H 	0.126840	0.9286	0.0714	CAT
H 	0.126015	0.9272	0.0728	CAT
B 	0.152905	3.1072	1.8928	AN
C 	0.110785	5.5603	0.4397	AN
C 	0.110360	5.5586	0.4414	AN
N 	-0.377976	8.1485	-1.1485	AN
N 	-0.380032	8.1509	-1.1509	AN
C 	0.083053	5.6009	0.3991	AN
C 	0.094131	5.5820	0.418	AN
N 	-0.365725	8.1294	-1.1294	AN
N 	-0.338440	8.1073	-1.1073	AN
