C 	0.091283	5.6281	0.3719	CAT
C 	-0.132085	6.0317	-0.0317	CAT
C 	-0.060756	6.0651	-0.0651	CAT
C 	-0.166324	6.0739	-0.0739	CAT
C 	-0.006031	5.6560	0.344	CAT
H 	0.124862	0.8834	0.1166	CAT
H 	0.113672	0.8487	0.1513	CAT
H 	0.138694	0.8833	0.1167	CAT
H 	0.133189	0.8736	0.1264	CAT
H 	0.115776	0.8735	0.1265	CAT
N 	0.053261	8.0875	-1.0875	CAT
C 	-0.106558	5.8112	0.1888	CAT
C 	-0.201008	6.1197	-0.1197	CAT
H 	0.110885	0.8989	0.1011	CAT
H 	0.098839	0.9274	0.0726	CAT
C 	-0.108275	6.0927	-0.0927	CAT
H 	0.090814	0.9423	0.0577	CAT
H 	0.111898	0.8871	0.1129	CAT
C 	-0.392987	6.1698	-0.1698	CAT
H 	0.089647	0.9430	0.057	CAT
H 	0.079585	0.9415	0.0585	CAT
H 	0.125320	0.9337	0.0663	CAT
H 	0.131554	0.9393	0.0607	CAT
H 	0.120789	0.9408	0.0592	CAT
Br	-0.556046	35.5475	-0.5475	AN
