C 	-0.434990	6.1610	-0.161	CAT
C 	-0.063575	5.8094	0.1906	CAT
N 	0.102347	8.1531	-1.1531	CAT
H 	0.124954	0.8637	0.1363	CAT
H 	0.111693	0.9025	0.0975	CAT
C 	0.005790	5.0462	0.9538	CAT
C 	-0.100284	5.6611	0.3389	CAT
N 	0.152600	8.1515	-1.1515	CAT
H 	0.152727	0.7892	0.2108	CAT
C 	-0.104771	5.6880	0.312	CAT
H 	0.162550	0.8243	0.1757	CAT
C 	-0.346751	5.8736	0.1264	CAT
H 	0.166719	0.8193	0.1807	CAT
H 	0.161278	0.8792	0.1208	CAT
H 	0.167777	0.8847	0.1153	CAT
H 	0.173414	0.8300	0.17	CAT
B 	0.144500	3.0951	1.9049	AN
C 	0.120298	5.5056	0.4944	AN
C 	0.113825	5.5167	0.4833	AN
N 	-0.375515	8.1940	-1.194	AN
N 	-0.385436	8.2097	-1.2097	AN
C 	0.089702	5.5799	0.4201	AN
C 	0.094568	5.5452	0.4548	AN
N 	-0.344039	8.1313	-1.1313	AN
N 	-0.350830	8.1585	-1.1585	AN
H 	0.158291	0.8783	0.1217	CAT
H 	0.135124	0.9401	0.0599	CAT
H 	0.168032	0.9078	0.0922	CAT
