C 	-0.432082	6.1754	-0.1754	CAT
C 	-0.060203	5.7706	0.2294	CAT
N 	0.097497	8.1444	-1.1444	CAT
H 	0.129739	0.8926	0.1074	CAT
H 	0.106262	0.8990	0.101	CAT
C 	0.004573	5.0712	0.9288	CAT
C 	-0.105758	5.6686	0.3314	CAT
N 	0.155796	8.1780	-1.178	CAT
H 	0.154781	0.7728	0.2272	CAT
C 	-0.099346	5.6556	0.3444	CAT
H 	0.159579	0.8231	0.1769	CAT
C 	-0.349485	5.8691	0.1309	CAT
H 	0.170764	0.8265	0.1735	CAT
H 	0.152928	0.9099	0.0901	CAT
H 	0.172044	0.8586	0.1414	CAT
H 	0.187533	0.8197	0.1803	CAT
S 	1.307087	12.5227	3.4773	AN
O 	-0.588644	9.2697	-1.2697	AN
O 	-0.541607	9.2397	-1.2397	AN
N 	-0.756913	8.5217	-1.5217	AN
S 	1.280483	12.4932	3.5068	AN
O 	-0.587725	9.2697	-1.2697	AN
O 	-0.578256	9.2794	-1.2794	AN
F 	-0.225529	9.6789	-0.6789	AN
F 	-0.215141	9.6718	-0.6718	AN
H 	0.133652	0.9470	0.053	CAT
H 	0.158572	0.9073	0.0927	CAT
H 	0.169397	0.8649	0.1351	CAT
