C 	-0.132824	5.8734	0.1266	CAT
H 	0.104850	0.9110	0.089	CAT
H 	0.103835	0.9082	0.0918	CAT
C 	-0.192299	6.1003	-0.1003	CAT
H 	0.102621	0.9273	0.0727	CAT
H 	0.103595	0.9297	0.0703	CAT
C 	-0.113616	6.0718	-0.0718	CAT
H 	0.092383	0.9494	0.0506	CAT
H 	0.090434	0.9461	0.0539	CAT
C 	-0.395502	6.2018	-0.2018	CAT
H 	0.127719	0.9264	0.0736	CAT
H 	0.136317	0.9122	0.0878	CAT
H 	0.126391	0.9293	0.0707	CAT
N 	0.208570	7.8256	-0.8256	CAT
C 	-0.118900	5.9498	0.0502	CAT
C 	-0.178311	6.1228	-0.1228	CAT
C 	-0.177339	6.0904	-0.0904	CAT
C 	-0.119864	5.9424	0.0576	CAT
H 	0.107490	0.9113	0.0887	CAT
H 	0.128592	0.8090	0.191	CAT
H 	0.127830	0.8856	0.1144	CAT
H 	0.089618	0.9185	0.0815	CAT
H 	0.128872	0.8866	0.1134	CAT
H 	0.088730	0.9495	0.0505	CAT
H 	0.128292	0.8107	0.1893	CAT
H 	0.107931	0.9129	0.0871	CAT
H 	0.148028	0.9100	0.09	CAT
C 	-0.356023	5.9724	0.0276	CAT
H 	0.148231	0.9074	0.0926	CAT
H 	0.164691	0.7996	0.2004	CAT
Br	-0.780342	35.8080	-0.808	AN
